SpeciesID,NProjects,NDetections,Order,PreyCat,LargeCarn,iter,warm,delta,init
bighorn_sheep,8,1965,Artiodactyla,NA,large,2000,1000,0.8,random
bobcat,44,4726,Carnivora,small,all,2000,1000,0.8,random
coyote,55,8600,Carnivora,all,large,2000,1000,0.8,random
elk,14,11341,Artiodactyla,NA,large,2000,1000,0.8,random
fisher,10,116,Carnivora,small,all,2000,1000,0.8,random
grey_fox,25,9382,Carnivora,small,all,2000,1000,0.8,random
grizzly_bear,8,6702,Carnivora,large,NA,4000,3000,0.99,random
lynx,7,1914,Carnivora,small,all,4000,3000,0.99,random
moose,10,6029,Artiodactyla,NA,large,2000,1000,0.8,random
mountain_goat,7,1683,Artiodactyla,NA,large,2000,1000,0.8,random
mule_deer,18,39164,Artiodactyla,NA,all,2000,1000,0.8,random
puma,17,2317,Carnivora,large,NA,2000,1000,0.8,random
raccoon,54,6018,Carnivora,small,all,2000,1000,0.8,random
red_fox,36,4891,Carnivora,small,all,2000,1000,0.8,random
ringtail,4,133,Carnivora,small,all,4000,3000,0.99,random
spotted_skunk,12,160,Carnivora,small,all,2000,1000,0.8,random
striped_skunk,29,3326,Carnivora,small,all,2000,1000,0.8,random
white_tailed_deer,51,48723,Artiodactyla,NA,all,2000,1000,0.8,random
wolf,8,7957,Carnivora,large,NA,2000,1000,0.8,random
wolverine,7,890,Carnivora,all,large,4000,3000,0.99,random
badger,12,259,Carnivora,small,all,2000,1000,0.8,0
black_bear,34,7810,Carnivora,all,NA,2000,1000,0.8,random
bison,3,202,Artiodactyla,NA,large,2000,1000,0.8,random
marten,9,1282,Carnivora,small,all,4000,3000,0.99,random