"Species","Binomial","NProjects","NDetections","Order","Family","Genus","Sp","AdultBodyMass_g","ActivityCycle","DietBreadth","DispersalAge_d","HabitatBreadth","HomeRange_km2","LitterSize","MaxLongevity_m","InterbirthInterval_d","SexualMaturityAge_d","WeaningAge_d","SocialGrpSize","TrophicLevel","BodyMass_ET","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","VertDiet","StrictCarn"
"beaver","Castor canadensis",5,20,"Rodentia","Castoridae","Castor","canadensis",18124.41,2,3,729.99,3,0.06,3.6,180,NA,663.02,46.5,5.1,1,21820,0,0,0,0,0,0,0,0,0,100,0,0
"bighorn_sheep","Ovis canadensis",8,1965,"Artiodactyla","Bovidae","Ovis","canadensis",74644.87,2,2,NA,1,18.94,1.16,288,365,761.25,130.8,NA,1,74644.88,0,0,0,0,0,0,0,0,0,100,0,0
"bison","Bison bison",3,202,"Artiodactyla","Bovidae","Bison","bison",624577.07,2,2,NA,2,47.39,0.98,396,399,921.77,287.32,30,1,579255.28,0,0,0,0,0,0,0,0,0,100,0,0
"caribou","Rangifer tarandus",1,163,"Artiodactyla","Cervidae","Rangifer","tarandus",109088.5,NA,3,NA,NA,2771.22,2,242.4,365,758.71,136.87,NA,1,86033.98,0,0,0,0,0,0,0,0,0,100,0,0
"elk","Cervus elaphus",14,11341,"Artiodactyla","Cervidae","Cervus","elaphus",240867.13,2,5,NA,1,58.42,1.09,321.6,NA,659.91,104.64,17.5,1,165015.85,0,0,0,0,0,0,0,0,0,100,0,0
"moose","Alces alces",10,6029,"Artiodactyla","Cervidae","Alces","alces",461900.76,2,1,NA,1,71.75,1.25,324,365,668.2,98.85,1,1,356998.16,0,0,0,0,0,0,0,0,0,100,0,0
"mountain_goat","Oreamnos americanus",7,1683,"Artiodactyla","Bovidae","Oreamnos","americanus",72105.4,2,2,NA,1,18.17,1.4,230.04,365,964.59,84.86,3,1,72500.33,0,0,0,0,0,0,0,0,0,100,0,0
"mule_deer","Odocoileus hemionus",18,39164,"Artiodactyla","Cervidae","Odocoileus","hemionus",84560.57,2,2,NA,1,2.01,1.61,264,365,527.12,73.49,NA,1,54212.57,0,0,0,0,0,0,0,0,10,90,0,0
"muskrat","Ondatra zibethicus",1,1,"Rodentia","Cricetidae","Ondatra","zibethicus",991.31,2,5,NA,3,0.00321,6.55,120,30,198.11,27.84,NA,2,1065.75,10,0,0,0,0,0,0,0,0,90,0,0
"porcupine","Erethizon dorsatum",10,1017,"Rodentia","Erethizontidae","Erethizon","dorsatum",7419.46,1,6,1048.39,2,0.1,1,216,NA,772.57,16.27,1,1,7085.33,0,0,0,0,0,0,10,0,20,70,0,0
"pronghorn","Antilocapra americana",2,51,"Artiodactyla","Antilocapridae","Antilocapra","americana",47450.01,NA,2,NA,1,8.05,1.93,144,365,534.68,87.54,12,1,46082.92,0,0,0,0,0,0,0,0,0,100,0,0
"white_tailed_deer","Odocoileus virginianus",51,48723,"Artiodactyla","Cervidae","Odocoileus","virginianus",75901.25,2,4,NA,1,1.99,1.57,276,304.16,365,79.92,2.25,1,55508.56,0,0,0,0,0,0,0,0,10,90,0,0
"badger","Taxidea taxus",12,259,"Carnivora","Mustelidae","Taxidea","taxus",7842.15,1,1,365,1,3.44,2.76,312,365,365,41.99,NA,3,7107.55,10,70,20,0,0,0,0,0,0,0,90,1
"black_bear","Ursus americanus",34,7810,"Carnivora","Ursidae","Ursus","americanus",110500,2,1,483,1,31.25,2.39,384,821.25,1448.45,167.99,NA,2,99949.36,0,10,0,10,0,0,50,0,0,30,20,0
"bobcat","Lynx rufus",44,4726,"Carnivora","Felidae","Lynx","rufus",6374.47,2,1,365,1,31.2,2.76,388,365,668.22,59.99,NA,3,8904.1,0,100,0,0,0,0,0,0,0,0,100,1
"coati","Nasua narica",2,37,"Carnivora","Procyonidae","Nasua","narica",4578.43,2,6,365,1,0.78,4,212,365,1009.04,132.63,NA,2,4030.05,10,20,0,0,0,0,70,0,0,0,20,0
"coyote","Canis latrans",55,8600,"Carnivora","Canidae","Canis","latrans",11989.1,2,1,255,1,18.88,5.72,262,365,372.9,43.71,NA,3,13406.33,0,60,0,10,0,30,0,0,0,0,70,1
"fisher","Martes pennanti",10,116,"Carnivora","Mustelidae","Martes","pennanti",3750,2,1,150,1,14.89,3.02,121.76,365,413.84,76.76,NA,3,4000,0,70,0,0,0,30,0,0,0,0,70,1
"grey_fox","Urocyon cinereoargenteus",25,9382,"Carnivora","Canidae","Urocyon","cinereoargenteus",3833.71,2,6,210,1,1.83,3.71,180,365,350.76,63.79,NA,2,3833.72,10,0,0,0,30,0,20,0,20,20,30,0
"grizzly_bear","Ursus arctos",8,6702,"Carnivora","Ursidae","Ursus","arctos",196287.5,2,6,912.49,1,310.81,2.24,600,912.5,1327.95,182.5,NA,2,180520.42,10,10,0,0,0,0,20,0,0,60,10,0
"hog_nosed_skunk","Conepatus leuconotus",3,38,"Carnivora","Mephitidae","Conepatus","leuconotus",3293.91,1,1,NA,1,NA,3.6,84,182.5,340.6,45.56,NA,3,3500.02,80,0,10,0,0,0,10,0,0,0,10,0
"hooded_skunk","Mephitis macroura",2,6,"Carnivora","Mephitidae","Mephitis","macroura",1097.76,2,1,NA,1,NA,4.68,NA,NA,NA,NA,NA,3,801.25,20,30,0,0,0,0,20,0,10,20,30,0
"kit_fox","Vulpes macrotis",2,58,"Carnivora","Canidae","Vulpes","macrotis",4499.97,NA,NA,NA,NA,8.1,4.5,240,NA,NA,NA,NA,NA,4499.97,30,60,10,0,0,0,0,0,0,0,70,1
"long_tailed_weasel","Mustela frenata",3,3,"Carnivora","Mustelidae","Mustela","frenata",190.03,2,1,84,2,0.21,6.5,85.23,365,200.69,34.23,NA,3,147,0,100,0,0,0,0,0,0,0,0,100,1
"lynx","Lynx canadensis",7,1914,"Carnivora","Felidae","Lynx","canadensis",9682.82,1,1,NA,1,30.6,2.73,321,365,672.9,111.36,NA,3,9373.25,0,80,0,20,0,0,0,0,0,0,100,1
"marten","Martes americana",9,1282,"Carnivora","Mustelidae","Martes","americana",873.69,2,1,NA,1,3.66,2.6,228,365,456.25,45.73,NA,3,1250,10,60,0,0,0,10,20,0,0,0,60,1
"mink","Neovison vison",1,1,"Carnivora","Mustelidae","Neovison","vison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,10,50,20,20,0,0,0,0,0,0,90,1
"ocelot","Leopardus pardalis",1,1,"Carnivora","Felidae","Leopardus","pardalis",11880,2,1,758.99,1,5.08,1.66,243.6,360.9,678.64,106.18,NA,3,11900.08,0,70,20,10,0,0,0,0,0,0,100,1
"opossum","Didelphis virginiana",38,2073,"Didelphimorphia","Didelphidae","Didelphis","virginiana",2442.08,1,4,107.5,2,0.58,8.62,60,136.87,225.55,109.62,1,2,2195.48,20,0,0,0,30,30,0,0,0,20,30,0
"otter","Lontra canadensis",3,7,"Carnivora","Mustelidae","Lontra","canadensis",8087.42,2,1,225,2,14.18,2.67,300,365,729.99,121.66,NA,3,8087.42,0,0,10,90,0,0,0,0,0,0,100,1
"puma","Puma concolor",17,2317,"Carnivora","Felidae","Puma","concolor",53954.05,2,1,419.99,1,129.89,2.76,240,577.91,1034.61,48.46,1,3,51600.04,0,100,0,0,0,0,0,0,0,0,100,1
"raccoon","Procyon lotor",54,6018,"Carnivora","Procyonidae","Procyon","lotor",6373.72,2,6,317.49,2,4.62,3.06,252,365,561.28,104.16,NA,2,5524.97,40,0,20,0,0,0,20,0,20,0,20,0
"red_fox","Vulpes vulpes",36,4891,"Carnivora","Canidae","Vulpes","vulpes",4820.36,1,1,225,1,3.5,4.59,180,365,321.07,50.71,NA,3,5476.17,20,70,0,0,0,0,10,0,0,0,70,1
"ringtail","Bassariscus astutus",4,133,"Carnivora","Procyonidae","Bassariscus","astutus",1010.37,1,6,180,1,0.74,3,198,365,278.08,53.84,NA,2,1129.51,20,10,0,0,0,0,70,0,0,0,10,0
"stoat","Mustela erminea",1,1,"Carnivora","Mustelidae","Mustela","erminea",284.5,2,1,105,1,0.11,6.74,85.23,365,93.09,60.93,NA,3,119.38,10,70,10,0,10,0,0,0,0,0,90,1
"striped_skunk","Mephitis mephitis",29,3326,"Carnivora","Mephitidae","Mephitis","mephitis",2399.99,1,6,84,1,2.32,5.7,155,365,355.18,55.15,NA,2,2085.02,20,30,0,0,0,0,20,0,10,20,30,0
"wolf","Canis lupus",8,7957,"Carnivora","Canidae","Canis","lupus",31756.51,2,1,180,1,159.86,4.98,354,365,679.37,44.82,NA,3,32183.33,0,100,0,0,0,0,0,0,0,0,100,1
"wolverine","Gulo gulo",7,890,"Carnivora","Mustelidae","Gulo","gulo",12792.49,1,1,638.99,1,343.27,2.84,216,821.25,756.6,83.64,NA,3,17012.56,0,20,0,0,20,40,20,0,0,0,40,0
"spotted_skunk","Spilogale putorius",12,160,"Carnivora","Mephitidae","Spilogale","spp",566.49,1,6,NA,1,0.29,5.07,120,243.33,196.96,55.68,NA,2,403.75,30,40,0,0,0,0,0,0,0,30,40,0
